,"dielectric constant, ionic",split,Predicted
969,5.8063,test,6.785241
970,5.0266,train,5.752882
971,5.3877,train,5.949972
972,4.8029,train,5.5985956
973,7.0354,train,7.0743055
974,9.6922,train,7.7167196
975,7.3126,train,7.116141
976,6.7012,train,7.0881763
977,6.1134,test,6.0041203
978,7.9398,train,6.48003
979,6.7747,train,6.449712
980,5.6403,train,5.904247
981,4.1107,train,6.6629534
982,11.2117,train,9.056494
983,10.9379,test,9.698354
984,6.5441,train,6.0995603
985,6.0042,train,6.6276426
986,6.238,train,5.8593764
987,4.2256,test,5.746939
988,6.1385,train,8.461063
989,7.798,train,7.7246766
990,6.1116,train,7.5437407
991,9.133,train,7.8749695
992,5.4035,train,6.333406
993,6.9212,train,7.3275514
994,11.3702,train,10.377416
995,6.5375,train,8.525703
996,11.466,train,10.1536045
997,6.6815,test,7.3668647
998,9.0654,train,10.193035
999,10.0306,test,10.872445
1000,6.0674,train,6.727172
1001,9.4815,test,10.43919
1002,9.815,test,10.792329
1003,10.8947,train,10.125544
1004,10.2732,train,8.536992
1005,10.035,train,10.180029
1006,11.2369,train,10.23858
1007,7.3978,train,8.491816
1008,11.3636,train,9.157266
1009,7.6848,test,9.338679
1010,5.7416,test,5.547745
1011,10.687,train,9.184428
1012,9.9706,train,9.0512085
1013,10.9681,train,9.116344
1014,5.9789,train,6.0127244
1015,8.4615,test,8.471022
1016,5.936,train,7.315379
1017,6.1606,train,7.3203716
1018,7.9825,train,8.507835
1019,9.2195,test,9.409249
1020,4.058,train,5.0176353
1021,4.4008,train,5.626087
1022,7.4822,test,6.9295516
1023,6.409,train,5.757134
